Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2017-04-21,2938,2930.470029915485,2931.2233599340493
2017-04-22,2942,2930.047685174608,2931.4020666214374
2017-04-23,2942,2929.6265050786596,2931.649558258933
2017-04-24,2908,2929.2064864160516,2931.891118032861
2017-04-25,2891,2928.78762598405,2932.0973330139154
2017-04-26,2873,2928.369920588754,2932.3722402329754
2017-04-27,2881,2927.9533670450696,2932.6023610376683
2017-04-28,2886,2927.537962176686,2932.7897320602456
2017-04-29,2887,2927.1237028160517,2933.006413083212
2017-04-30,2887,2926.710585804349,2933.1224573165337
2017-05-01,2883,2926.298607991472,2933.4063332378323
2017-05-02,2857,2925.887766236001,2933.575235917177
2017-05-03,2849,2925.4780574051783,2933.927015427021
2017-05-04,2809,2925.069478374886,2934.166975949656
2017-05-05,2810,2924.66202602962,2934.34550020563
2017-05-06,2807,2924.255697262469,2934.532972935217
2017-05-07,2807,2923.8504889750884,2934.7774262602898
2017-05-08,2810,2923.446398077677,2934.9355937921105
2017-05-09,2800,2923.043421488954,2935.1334724780013
2017-05-10,2805,2922.6415561361373,2935.3527043525264
2017-05-11,2806,2922.240798954916,2935.6750807037065
2017-05-12,2807,2921.8411468894296,2935.9768154598846
2017-05-13,2801,2921.4425968922455,2936.1867500782528
2017-05-14,2801,2921.045145924333,2936.3626046967165
2017-05-15,2808,2920.6487909550438,2936.708160721273
2017-05-16,2812,2920.253528962085,2936.942664237021
2017-05-17,2858,2919.859356931498,2937.24327752481
2017-05-18,2875,2919.4662718576374,2937.4728878276655
2017-05-19,2861,2919.0742707431427,2937.6256388899515
2017-05-20,2864,2918.6833505989225,2937.905732314123
2017-05-21,2864,2918.293508444125,2938.1709356048436
2017-05-22,2874,2917.9047413061207,2938.3684068115317
2017-05-23,2890,2917.517046220475,2938.609898500652
2017-05-24,2869,2917.1304202309298,2938.8476010233207
2017-05-25,2864,2916.744860389378,2939.062693692059
2017-05-26,2885,2916.3603637558435,2939.321747520315
2017-05-27,2889,2915.9769273984552,2939.5521500092627
2017-05-28,2889,2915.5945483934292,2939.7552043556943
2017-05-29,2889,2915.213223825042,2939.977020033573
2017-05-30,2879,2914.832950785612,2940.1344469441797
2017-05-31,2871,2914.4537263754746,2940.399272175246
2017-06-01,2862,2914.0755477029625,2940.5905350588428
2017-06-02,2888,2913.698411884381,2940.898823320448
2017-06-03,2887,2913.3223160439884,2941.1355675739924
2017-06-04,2887,2912.9472573139724,2941.333006617202
2017-06-05,2899,2912.5732328344293,2941.536178101277
2017-06-06,2953,2912.2002397533415,2941.775816727436
2017-06-07,2952,2911.828275226557,2941.960249478051
2017-06-08,2910,2911.457336417765,2942.170099035189
2017-06-09,2895,2911.087420498477,2942.393618540147
2017-06-10,2902,2910.718524648005,2942.683144443708
2017-06-11,2902,2910.3506460534372,2942.9594687556446
2017-06-12,2899,2909.983781909621,2943.177058686515
2017-06-13,2890,2909.617929419138,2943.372848086392
2017-06-14,2903,2909.253085792283,2943.6772322054494
2017-06-15,2879,2908.8892482470455,2943.910562775265
